Petition ID,Title,Status,URL,Overview,Targets,,Letter Body,Signature Count,Image URL,Category,Goal,Created At,End At,Creator Name,Creator URL,Organization Name,Organization URL
,,,,,Name,Type
1312716,Please terminate Onision's YouTube accounts.,open,http://api.change.org/petitions/please-terminate-onision-s-youtube-accounts,<p>I used to find the soap opera that is Onision's life funny and entertaining  in a self-righteous way. It was like a watching a train wreck that was always happening but never ending. It was so stupid that it gave me a sense of self-superiority for not being a part of it.&nbsp; I'm not so easily amused anymore.&nbsp; Neglecting  torturing and killing helpless animals is not funny.&nbsp; Sexual abuse of underage girls is not funny.&nbsp; Telling people to kill themselves is not funny.&nbsp; I'm starting this petition to get YouTube to terminate Onision's YouTube accounts. Please sign my petition  because it's high time to take this child predator off the Tubes - PERMANENTLY!</p>,Salar Kamangar, CEO of YouTube, Inc.,custom,I used to find the soap opera that is Onision's life funny and entertaining  in a self-righteous way. It was like a watching a train wreck that was always happening but never ending. It was so stupid that it gave me a sense of self-superiority for not being a part of it.

I'm not so easily amused anymore.

Neglecting  torturing and killing helpless animals is not funny.

Sexual abuse of underage girls is not funny.

Telling people to kill themselves is not funny.

I'm supporting this petition to get Onision's YouTube accounts terminated. Please do as I request  because it's high time to take this child predator off the Tubes - PERMANENTLY!
,113,//d22r54gnmuhwmk.cloudfront.net/photos/2/fs/uo/AaFsuoTVjgfNVqY-556x313-cropped.jpg,Criminal Justice,150,2013-09-24T11:36:03Z,2015-02-25T23:59:59Z,EXPOSING ONISION,http://api.change.org/u/imonthekilllist,None,None
